0.052359878	0.100000000	0.12397213(49)	1.2397212(42)	22991.7(5.4)	1.94349(48)	1971.683(35)
0.078539816	0.150000000	0.20789194(71)	1.3859451(46)	9124.3(2.9)	1.24174(40)	1224.667(15)
0.104719755	0.200000000	0.3107182(18)	1.5535918(62)	4584.4(1.6)	0.89491(31)	853.7958(95)
0.130899694	0.250000000	0.4365670(24)	1.7462736(66)	2615.69(96)	0.68832(26)	633.3527(56)
0.157079633	0.300000000	0.5904690(37)	1.968237(11)	1610.41(57)	0.54983(19)	488.1596(51)
0.183259571	0.350000000	0.7786072(63)	2.224594(11)	1041.48(23)	0.449726(97)	385.9683(35)
0.209439510	0.400000000	1.008643(12)	2.521604(21)	694.80(19)	0.372790(96)	310.6291(42)
0.235619449	0.450000000	1.2900543(76)	2.8667699(82)	472.02(28)	0.31071(19)	253.1937(12)
0.261799388	0.500000000	1.634692(13)	3.269393(23)	324.28(25)	0.25950(20)	208.2735(21)
0.287979327	0.550000000	2.057440(12)	3.740761(28)	223.70(18)	0.21619(17)	172.4537(18)
0.314159265	0.600000000	2.576940(25)	4.294953(38)	153.966(99)	0.17889(12)	143.4480(17)
0.340339204	0.650000000	3.217221(31)	4.949610(31)	105.050(90)	0.14630(13)	119.67115(94)
0.366519143	0.700000000	4.008843(37)	5.726878(50)	70.723(43)	0.117880(70)	99.9929(11)
0.392699082	0.750000000	4.991372(56)	6.655108(66)	46.644(23)	0.093013(46)	83.58008(97)
0.418879020	0.800000000	6.216024(80)	7.770037(92)	29.787(26)	0.071108(62)	69.81562(95)
0.445058959	0.850000000	7.750864(89)	9.11852(11)	18.165(15)	0.052002(43)	58.21930(74)
0.471238898	0.900000000	9.68639(17)	10.76249(15)	10.337(11)	0.035584(37)	48.41534(74)
