\multicolumn{1}{c}{$C$}	\multicolumn{1}{c}{$D$, $d^*=0,1$}	\multicolumn{1}{c}{$D$, $d^*=0,3$}	\multicolumn{1}{c}{$D$, $d^*=0,5$}	\multicolumn{1}{c}{$D$, $d^*=0,7$}	\multicolumn{1}{c}{$D$, $d^*=0,9$}
200000000	1.93613(49)	0.54348(24)	0.25378(14)	0.114717(48)	0.035130(30)
400000000	1.94088(57)	0.54732(17)	0.25716(12)	0.116599(75)	0.035347(30)
600000000	1.94209(48)	0.54875(15)	0.25856(12)	0.117450(66)	0.035469(37)
800000000	1.94285(45)	0.54966(18)	0.25937(13)	0.117925(69)	0.035552(38)
1000000000	1.94367(41)	0.55026(20)	0.25994(15)	0.118248(73)	0.035618(35)
1200000000	1.94404(43)	0.55060(23)	0.26044(16)	0.118525(84)	0.035694(33)
1400000000	1.94449(41)	0.55099(24)	0.26078(17)	0.118724(60)	0.035727(34)
1600000000	1.94505(55)	0.55130(25)	0.26102(16)	0.118847(45)	0.035742(39)
1800000000	1.94558(35)	0.55152(21)	0.26122(15)	0.118947(44)	0.035764(35)
2000000000	1.94589(29)	0.55168(23)	0.26137(14)	0.119023(58)	0.035785(37)
2200000000	1.94559(36)	0.55173(20)	0.26152(15)	0.119081(62)	0.035801(35)
2400000000	1.94569(47)	0.55178(19)	0.26170(14)	0.119130(76)	0.035825(39)
2600000000	1.94582(49)	0.55181(18)	0.26181(14)	0.119145(79)	0.035839(39)
2800000000	1.94576(50)	0.55182(20)	0.26190(15)	0.119155(71)	0.035849(41)
3000000000	1.94584(40)	0.55192(21)	0.26194(16)	0.119216(71)	0.035859(40)
3200000000	1.94600(45)	0.55204(20)	0.26202(15)	0.119269(77)	0.035854(38)
3400000000	1.94577(49)	0.55211(18)	0.26209(16)	0.119310(78)	0.035861(37)
3600000000	1.94570(52)	0.55217(18)	0.26213(16)	0.119330(81)	0.035866(38)
3800000000	1.94572(57)	0.55226(18)	0.26217(16)	0.119338(89)	0.035869(39)
4000000000	1.94574(63)	0.55230(14)	0.26219(17)	0.119361(84)	0.035891(37)
4200000000	1.94566(64)	0.55226(16)	0.26223(17)	0.119397(78)	0.035902(36)
4400000000	1.94560(64)	0.55228(16)	0.26225(18)	0.119422(81)	0.035922(37)
4600000000	1.94555(60)	0.55240(18)	0.26234(18)	0.119427(75)	0.035933(44)
4800000000	1.94567(53)	0.55245(20)	0.26241(18)	0.119444(75)	0.035935(44)
5000000000	1.94554(56)	0.55243(20)	0.26248(17)	0.119457(80)	0.035931(45)
5200000000	1.94565(53)	0.55242(17)	0.26256(16)	0.119452(82)	0.035932(43)
5400000000	1.94565(52)	0.55238(16)	0.26263(17)	0.119466(85)	0.035935(42)
5600000000	1.94571(56)	0.55242(16)	0.26264(17)	0.119488(86)	0.035946(42)
5800000000	1.94581(62)	0.55243(13)	0.26268(17)	0.119524(86)	0.035950(41)
6000000000	1.94552(67)	0.55240(13)	0.26270(18)	0.119538(86)	0.035955(43)
6200000000	1.94573(64)	0.55243(13)	0.26272(17)	0.119553(93)	0.035958(44)
6400000000	1.94544(67)	0.55248(12)	0.26274(17)	0.119545(89)	0.035962(44)
6600000000	1.94545(71)	0.55255(13)	0.26274(19)	0.119533(82)	0.035957(45)
6800000000	1.94528(64)	0.55256(13)	0.26276(19)	0.119547(83)	0.035955(46)
7000000000	1.94519(63)	0.55260(12)	0.26276(18)	0.119559(85)	0.035955(44)
7200000000	1.94498(67)	0.55264(12)	0.26277(18)	0.119571(85)	0.035956(41)
7400000000	1.94504(64)	0.55267(11)	0.26276(17)	0.119579(88)	0.035955(37)
7600000000	1.94509(57)	0.55265(12)	0.26279(16)	0.119601(86)	0.035957(36)
7800000000	1.94510(55)	0.55268(14)	0.26279(15)	0.119623(84)	0.035963(36)
8000000000	1.94498(62)	0.55277(14)	0.26277(14)	0.119637(84)	0.035969(36)
8200000000	1.94495(61)	0.55285(12)	0.26281(14)	0.119669(81)	0.035969(38)
8400000000	1.94499(60)	0.55290(13)	0.26286(14)	0.119681(81)	0.035968(39)
8600000000	1.94487(62)	0.55291(12)	0.26288(13)	0.119681(78)	0.035970(41)
8800000000	1.94485(67)	0.55290(14)	0.26288(13)	0.119677(75)	0.035979(41)
9000000000	1.94493(65)	0.55289(14)	0.26287(13)	0.119668(71)	0.035981(41)
9200000000	1.94501(61)	0.55292(16)	0.26287(13)	0.119661(70)	0.035979(42)
9400000000	1.94509(58)	0.55295(15)	0.26287(13)	0.119664(64)	0.035979(42)
9600000000	1.94507(64)	0.55299(17)	0.26288(13)	0.119655(66)	0.035985(42)
9800000000	1.94498(66)	0.55298(20)	0.26289(13)	0.119655(63)	0.035989(43)
10000000000	1.94488(67)	0.55302(19)	0.26289(13)	0.119662(63)	0.036000(44)
